Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
100002,0,Cancer Lifeline,13/12/2013,Up-to-date,31 March 2016,369451,350370,0,0,0,"Cancer Lifeline, 44 Alliance Avenue, Belfast, BT14 7PJ",www.cancerlifeline.info,info@cancerlifeline.info,028 90351999,55010,"The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,General public,Mental health,Physical disabilities,Voluntary and community sector","Advice/advocacy/information,Counselling/support,Education/training,Medical/health/sickness",
100003,0,Strabane Ethnic Community Association,13/12/2013,Due documents received late,31 March 2016,62082,61398,0,0,0,"2 Abercorn Square, Strabane, Co Tyrone, BT82 8AN",,bobby@seca.org.uk,02871886419,0,The advancement of citizenship or community development,"Adult training,Asylum seekers/refugees,Community safety/crime prevention,Ethnic minorities,General public,Homelessness,Language community,Learning disabilities,Men,Mental health,Older people,Parents,Specific areas of deprivation,Travellers,Unemployed/low income,Victim support,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Accommodation/housing,Advice/advocacy/information,Arts,Community development,Cross-border/cross-community,Cultural,Disability,Education/training,Environment/sustainable development/conservation,General charitable purposes,Human rights/equality,Medical/health/sickness,Relief of poverty,Sport/recreation,Volunteer development,Youth development",
100004,0,Disability Action (Ni),18/06/2014,Up-to-date,31 March 2016,5559645,5485583,0,0,0,"Portside Business Park, 189 Airport Road West, Belfast., BT3 9ED",www.disabilityaction.org,hq@disabilityaction.org,(028) 90297880,19258,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,General public,Learning disabilities,Mental health,Older people,Parents,Physical disabilities,Sensory disabilities","Advice/advocacy/information,Community development,Community transport,Disability,Education/training,Human rights/equality",
100005,0,Supporting Communities Ni,13/12/2013,Up-to-date,31 March 2016,836197,1052159,0,0,0,"Supporting Communities Ni, 34-36 Henry Street, Ballymena, Co  Antrim, BT42 3AH",www.supportingcommunities.org,info@supportingcommunitiesni.org,02825645676,999999,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,Other charitable purposes","Adult training,Community safety/crime prevention,General public,Interface communities,Older people,Specific areas of deprivation,Tenants,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Community enterprise,Cultural,Disability,Education/training,Environment/sustainable development/conservation,General charitable purposes,Grant making,Human rights/equality,Playgroup/after schools,Relief of poverty,Research/evaluation,Rural development,Urban development,Volunteer development,Youth development",
100006,0,Lagan Valley Rural Transport,13/12/2013,Up-to-date,31 March 2016,350198,361268,0,0,0,"Units 1-6 Prm Complex, Rathdown Road, Lissue Industrial Estate, Lisburn, County Antrim, BT28 2RE",www.laganvalleyruraltransport.co.uk,admin@laganvalleyruraltransport.co.uk,028 92622030,54558,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Interface communities,Learning disabilities,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Specific areas of deprivation,Voluntary and community sector,Volunteers,Youth (14-25 year olds)",Community transport,
100007,0,Clooney Soccer School,13/12/2013,Up-to-date,31 March 2016,7480,8078,0,0,0,"Unit 1 Glenaden Complex, Trench Road, Altnagelvin Industrial Estate, Londonderry, BT47 2ED",www.clooneysoccerschool.org,clooneysoccerschool@live.co.uk,07812247434,0,"The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of amateur sport","Children (5-13 year olds),Preschool (0-5 year olds),Volunteers,Youth (14-25 year olds)","Education/training,General charitable purposes,Sport/recreation,Volunteer development,Youth development",
100008,0,Advice Ni,13/12/2013,Due documents received late,31 March 2016,3050902,3139381,0,0,0,"1 Rushfield Avenue, Belfast, BT7 3FP",www.adviceni.net,info@adviceni.net,028 90645919,71966,"The advancement of education,The advancement of citizenship or community development","Adult training,General public,Older people,Unemployed/low income,Voluntary and community sector","Advice/advocacy/information,Education/training",
100009,0,Rural Community Network Ni,23/05/2014,Up-to-date,31 March 2016,263243,286010,0,0,0,"38A Oldtown Street, Cookstown, County Tyrone., BT80 8EF",www.ruralcommunitynetwork.org,info@ruralcommunitynetwork.org,07738 449681,31418,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement","Adult training,Ethnic minorities,General public,Interface communities,Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,Gender,Grant making,Human rights/equality,Relief of poverty,Research/evaluation,Rural development",
100010,0,Drumellan Community Association,13/12/2013,Up-to-date,31 March 2016,174398,163812,0,0,0,"4 Drumellan Court, Brownlow, Craigavon, BT65 5HT",,drumellan@hotmail.com,02838321415,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,General public,Older people,Parents,Preschool (0-5 year olds),Tenants,Unemployed/low income,Voluntary and community sector,Volunteers","Community development,Counselling/support,Cross-border/cross-community,Cultural,Education/training,Playgroup/after schools,Volunteer development,Youth development",
100011,0,Brookeborough Controlled Primary School Parent Teacher Support Association,13/12/2013,Up-to-date,30 September 2016,3706,5558,0,0,0,"Brookeborough Primary School, Main Street, Brookeborough, Enniskillen, County Fermanagh, BT94 4EZ",brookeboroughps.com,brookeboroughptsa@gmail.com,02889531144,0,The advancement of education,"Children (5-13 year olds),General public,Parents,Volunteers","Cross-border/cross-community,Education/training,Volunteer development",
100012,0,Northern Ireland Council For Voluntary Action,13/12/2013,Up-to-date,31 March 2016,1699406,1894353,87,85,0,"61 Duncairn Gdns, Belfast., BT15 2GB",www.nicva.org,info@nicva.org,028 9087 7777,1792,"The advancement of education,The advancement of citizenship or community development","Adult training,General public,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,General charitable purposes,Research/evaluation",
100013,0,The Boys' Brigade - Ni District,13/12/2013,Up-to-date,31 March 2016,300174,217910,0,0,0,"Newport, 117 Culcavy Road, Hillsborough, County Down, BT26 6HH",www.bbni.org.uk,nihq@boys-brigade.org.uk,02892688444,0,"The advancement of education,The advancement of religion","Adult training,Children (5-13 year olds),Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,Religious activities,Sport/recreation,Volunteer development,Youth development",
100015,0,North-West Community Network,06/03/2014,Up-to-date,31 March 2016,56930,59512,0,0,0,"8-14 Bishop Street, Derry~Londonderry, BT48 6PW",www.nwcn.org,info@nwcn.org,02871279090,39778,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","General public,Voluntary and community sector","Advice/advocacy/information,Community development,Community enterprise,Cross-border/cross-community,Education/training,General charitable purposes,Human rights/equality,Urban development,Volunteer development",
100016,0,Fírinne,13/12/2013,Up-to-date,31 March 2016,157156,155899,0,0,0,"Dp1 31 Glenlevan Road, Sandhill, Derrygonnelly, Enniskillen, County Fermanagh, BT93 6ER",www.firinne.ie,firinne@fsmail.net,02868641418  02866324497,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Adult training,Ex-offenders and prisoners,Men,Mental health,Specific areas of deprivation,Victim support,Voluntary and community sector,Women","Advice/advocacy/information,Community development,Counselling/support,Education/training,Human rights/equality,Relief of poverty",
100017,0,Groundwork Northern Ireland,13/12/2013,Up-to-date,31 March 2016,2015863,2265260,0,0,0,"Groundwork Northern Ireland, 63-75 Duncairn Gardens, Belfast, BT15 2GB",www.groundworkni.org.uk,info@groundworkni.co.uk,02890749494,25852,"The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement","General public,Interface communities,Unemployed/low income,Youth (14-25 year olds)","Community development,Community enterprise,Cross-border/cross-community,Education/training,Environment/sustainable development/conservation,Rural development,Urban development,Youth development",
100018,0,U3a Foyle,13/12/2013,Up-to-date,31 March 2016,157581,160097,0,0,0,"U 3 A Foyle, Pascal Mcdonald House, Gransha Park, Londonderry, BT47 6TG",www.u3afoyle.com,u3a.foyle@btinternet.com,02871860123,41287,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Older people,Volunteers","Arts,Education/training,Sport/recreation",
100022,0,Dominican @ Orana Preschool Playgroup,17/07/2014,Up-to-date,31 May 2016,61191,61228,0,0,0,"4 Warrenpoint Road, Newry, County Down, BT34 2PF",,patriciatoal@btinternet.com,028 3026 8651,0,The advancement of education,"Preschool (0-5 year olds),Unemployed/low income,Women","Education/training,Playgroup/after schools,Volunteer development",
100024,0,Clonavon Congregational Church Ballymena,10/09/2014,Up-to-date,31 December 2015,65068,61582,0,0,0,"32 Tullymore Park, Ballymena, County Antrim., BT42 2AU",www.ballymenacongregational.com,rscott801@hotmail.co.uk,028 2564 0877,0,"The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Men,Older people,Preschool (0-5 year olds),Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,General charitable purposes,Religious activities,Sport/recreation,Welfare/benevolent",
100025,0,The Emo Trust,25/07/2014,Up-to-date,05 April 2016,4800,5838,0,0,0,"Doctors Surgery, 75 Milecross Road, Newtownards, County Down., BT23 4SR",,emo.mx@btinternet.com,02891813700,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of health or the saving of lives","Addictions (drug/solvent/alcohol abuse),General public,Homelessness,Overseas/developing countries,Specific areas of deprivation","Education/training,Grant making,Overseas aid/famine relief,Religious activities",
100026,0,Friends Of Nigeria-Rvh Save A Heart Foundation,06/03/2014,Up-to-date,15 June 2016,41198,36174,0,0,0,"2, Stockdam Glen., BT28 3YS",www.sahnigeria.org,ocnzewi@sahnigeria.org,02890633831,0,The advancement of health or the saving of lives,Overseas/developing countries,"Education/training,Medical/health/sickness,Volunteer development",
